2020-05-30 07:03:43,"b'@jokowi ini yang goblo* siapa ya, \xf0\x9f\x98\xa5 Eyang Habibi dan Ainun lihat ini pasti sedih lhaa disana. @jokowi terimakasih p\xe2\x80\xa6 https://t.co/1XAV78GJI3'"
2020-05-30 07:03:27,"b'RT @mazzini_gsp: @purirahanim @jokowi R80 tetep jalan ya dari swasta aja, pemerintah tarik diri, duit yg orang nyumbang tetep ada'"
2020-05-30 07:03:23,"b'RT @kafiradikalis: ...GILAK...!! \n\nAcara diskusi di UGM tentang tema\n\n ""Pemecatan @Jokowi"" \n\nakhirnya batal karena narasumber mendapatkan t\xe2\x80\xa6'"
2020-05-30 07:03:23,b'RT @mazzini_gsp: @selinameyerkw @jokowi Makanya dari awal dulu dia kampanye gembar-gembor dukung R80 tuh menurut gue buat narik suara dari\xe2\x80\xa6'
2020-05-30 07:03:16,"b'RT @lazarus_omar: @cinta_zid @ronavioleta @jokowi Silahkan Bantah, bagaimana Luhut adalah Tuan Besar dan Majikan Jokowi ke 2 setelah Hendro\xe2\x80\xa6'"
2020-05-30 07:03:06,"b'RT @kafiradikalis: ...GILAK...!! \n\nAcara diskusi di UGM tentang tema\n\n ""Pemecatan @Jokowi"" \n\nakhirnya batal karena narasumber mendapatkan t\xe2\x80\xa6'"
2020-05-30 07:03:00,b'RT @cinta_zid: waktu mereka kejam ke rakyat pada orde baru\nkalian sebut Soeharto kejam.\nwaktu mereka kejam ke rakyat pada rejim kodok\nkenap\xe2\x80\xa6'
2020-05-30 07:02:52,"b'RT @ustadtengkuzul: Bu Sri Mulyani, daripada susah mencari hutangan ke sana kemari, kenapa tidak diambil dan dicairkan saja dana yang kata\xe2\x80\xa6'"
2020-05-30 07:02:51,"b'@UnitedNic @Acapujangga @jokowi @rockygerung_rg cebong dungu tahunya cuma kampret 02, kasihan amat..'"
2020-05-30 07:02:48,b'RT @cinta_zid: waktu mereka kejam ke rakyat pada orde baru\nkalian sebut Soeharto kejam.\nwaktu mereka kejam ke rakyat pada rejim kodok\nkenap\xe2\x80\xa6'
2020-05-30 07:02:47,"b'RT @azizahgelis: Pak de @jokowi yakin jika masyarakat disiplin maka kurva corona akan turun.\n\nyuks mari kita sama"" disiplin guys..\n\n#NewNor\xe2\x80\xa6'"
2020-05-30 07:02:37,b'new normal? menyelesaikan atau melupakan masalah? @jokowi'
2020-05-30 07:02:35,b'RT @elHurryKoRn: Sugik Nur : jadi @jokowi ini klo dibilang PKI gak trima....\n\n.\nCc @DivHumas_Polri @Puspen_TNI\nBy https://t.co/St68EWSEFL h\xe2\x80\xa6'
2020-05-30 07:02:33,b'@Cahya40568545 @WEfenfi @ustadtengkuzul @jokowi Yang waras ngalah.. \xf0\x9f\x99\x8b\xf0\x9f\x99\x8b https://t.co/iQ8oxNNf7j'
2020-05-30 07:02:31,b'RT @cintada17: #RakyatDukungNewNormal\nSEJUMLAH NEGARA MULAI MEMBUKA KEGIATAN PEREKONOMIAN \n\nSya Tidak Pernah meragukan keputusan yg di ambi\xe2\x80\xa6'
2020-05-30 07:01:56,b'@mazzini_gsp @jokowi Oh ya lupa... Kalau media berita emang suka permainin hati pembaca...\n\nBiasalah iklan mereka l\xe2\x80\xa6 https://t.co/WRV4j9Qbbq'
2020-05-30 07:01:54,"b'RT @Dennysiregar7: Yang pengen dirumah dan menolak new normal, ya silahkan di rumah.\n\nTubuh anda sehat, perusahaan anda yang sakit. \n\nNanti\xe2\x80\xa6'"
2020-05-30 07:01:34,b'@jokowi Kuda Ikut Serta Berjuang Tapi Makanya Rumput Kalah Sama Monyet Masih Makan Pisang https://t.co/LKqVp7rV0g'
2020-05-30 07:01:27,b'RT @cintada17: #RakyatDukungNewNormal\nSEJUMLAH NEGARA MULAI MEMBUKA KEGIATAN PEREKONOMIAN \n\nSya Tidak Pernah meragukan keputusan yg di ambi\xe2\x80\xa6'
2020-05-30 07:01:15,"b'RT @NataliusPigai2: Di Timika 2 Pasien Covid-19 di jemput polisi dr T4 Isolasi, di Jayapura Aktivis (Bazoka Logo kena Covid-19 di Sel, Soro\xe2\x80\xa6'"
2020-05-30 07:01:13,b'@ustadtengkuzul @jokowi Semoga Allah memberi kesabaran dan kekuatan kepada tengku dari golongan orang yg memfitnah\xe2\x80\xa6 https://t.co/0QvcyMQIYz'
2020-05-30 07:01:07,b'@MudjiburRohman @ustadtengkuzul @jokowi Knp tukang ngibul banyak yg bela. Karena mereka segolongan sama sama ngibulan rakyat'
2020-05-30 07:01:00,b'Mantap\n@jokowi \n@marwan_jafar \n@KastomoYes \n@RumahMarwan \n\nhttps://t.co/DF2iSQtCjC'
2020-05-30 07:00:50,b'@FaGtng @imakoe2901 @jokowi @WagimanDeep212 Hukuman mato harusnya.'
2020-05-30 07:00:40,b'RT @RidwanS38612261: @jokowi Dampak yg paling terasa adalah Tenaga Ahli Tiongkok suka buang air sembarangan yg berdampak kolera selain Covi\xe2\x80\xa6'
2020-05-30 07:00:35,b'@mazzini_gsp @jokowi Goblok... Bukannya dikembangin malah disia-siain....'
2020-05-30 07:00:34,b'RT @__RismaWidiono_: Indonesia bersiap menyambut New Normal \n\nSaat ini sosialisasi New Normal terus dilakukan secara masif\n\nPresiden @jokow\xe2\x80\xa6'
2020-05-30 07:00:25,"b'RT @Dennysiregar7: Yang pengen dirumah dan menolak new normal, ya silahkan di rumah.\n\nTubuh anda sehat, perusahaan anda yang sakit. \n\nNanti\xe2\x80\xa6'"
2020-05-30 07:00:24,"b'@vita_AVP @budi1439h @AgusYudhoyono Klo berita ini benar, Pa Jkw akan jadi tertuduh, Demokrat &amp; AHY akan jadi parta\xe2\x80\xa6 https://t.co/TWmDOS1NXz'"
2020-05-30 07:00:14,"b'@elHurryKoRn @jokowi @DivHumas_Polri @Puspen_TNI Rausah bacot nur,,, kalo ngustat ya ngustat saja.'"
2020-05-30 06:59:58,b'@elHurryKoRn @jokowi @DivHumas_Polri @Puspen_TNI Ijin saya rt dg komen Bang'
2020-05-30 06:59:47,"b'RT @NataliusPigai2: Di Timika 2 Pasien Covid-19 di jemput polisi dr T4 Isolasi, di Jayapura Aktivis (Bazoka Logo kena Covid-19 di Sel, Soro\xe2\x80\xa6'"
2020-05-30 06:59:36,"b'RT @cak_sugenk: Pak @jokowi tolong dua pemimpin daerah ini dimediasi karena sudah jadi rahasia umum kalo beliau2 berdua ini perang dingin,\xe2\x80\xa6'"
2020-05-30 06:59:33,b'RT @faiqahnurazizah: Kepala Negara Rasa Yutuber \xf0\x9f\x98\x85\n@jokowi\n\n#JokowiNewSahin https://t.co/YgOyg9nzJH'
2020-05-30 06:59:27,b'@__3lVheeR4__ @MasMenteri @Kemdikbud_RI @jokowi Curhatan siswa seperti ini mestinya tdk terjadi jika Mas Nadiem cep\xe2\x80\xa6 https://t.co/H4OXPGoK7S'
2020-05-30 06:59:19,b'@YandraAsril @ustadtengkuzul @Bagas36406270 @jokowi 11000 T wow..5 jt Masker Aja ga jelas..\nAh terserah'
2020-05-30 06:59:18,"b'@ganjarpranowo \n@KemenkesRI \n@jokowi \n@BNPB_Indonesia \n@ridwankamil \nBu risma sudah berupaya, namun sll dibatasi ol\xe2\x80\xa6 https://t.co/pcSgnv9IWc'"
2020-05-30 06:59:05,b'RT @cinta_zid: waktu mereka kejam ke rakyat pada orde baru\nkalian sebut Soeharto kejam.\nwaktu mereka kejam ke rakyat pada rejim kodok\nkenap\xe2\x80\xa6'
2020-05-30 06:59:00,b'@GemilangK @mazzini_gsp @selinameyerkw @jokowi ya namanya cari suara apapun pasti dilakuin meskipun agak mustahil'
2020-05-30 06:58:55,"b'RT @jokowi: Pemerintah saat ini fokus menangani pandemi Covid-19, tapi agenda strategis yang berdampak besar bagi kehidupan rakyat harus te\xe2\x80\xa6'"
2020-05-30 06:58:53,"b'@mazzini_gsp @jokowi Masih berlanjut pranknya, mau sampai kapan berhenti itu......'"
2020-05-30 06:58:50,"b'RT @tukangrosok__: Sungguh miris kejadian seperti ini,,,\nBetapa marahnya Bu Risma dg kejadian sabotase seperti ini.\nSemoga kejadian sprt in\xe2\x80\xa6'"
2020-05-30 06:58:43,"b'@SetuFery @AditPut39327293 @SeptianPerdan12 @StefhanieQueen @jokowi Memangnya pekerja tambang nikel,  pltu dan smel\xe2\x80\xa6 https://t.co/c6Lg4LM5HI'"
2020-05-30 06:58:41,"b'RT @NonMaryam_id: Kedua pemimpin di masa kita ini,\nSiapakah yang menurut anda paling sigap dan tepat dalam menangani Covid-19?\n\n\xe2\x9c\x85 @aniesbas\xe2\x80\xa6'"
2020-05-30 06:58:41,b'Pak @jokowi sekalian aja materi tntg pemakzulan di FH UGM dan FH lainnya dihapus aja.. daripada ada yg kebakaran je\xe2\x80\xa6 https://t.co/cdW9rzOYTn'
2020-05-30 06:58:32,b'RT @__RismaWidiono_: Indonesia bersiap menyambut New Normal \n\nSaat ini sosialisasi New Normal terus dilakukan secara masif\n\nPresiden @jokow\xe2\x80\xa6'
2020-05-30 06:58:26,"b'@mazzini_gsp @jokowi emg udah jadi kesalahan besar bgt,aneh,masa pahlawan yang berjuang mati matian,buat pesawat pe\xe2\x80\xa6 https://t.co/3AgNLbXlv0'"
2020-05-30 06:58:24,b'RT @cinta_zid: waktu mereka kejam ke rakyat pada orde baru\nkalian sebut Soeharto kejam.\nwaktu mereka kejam ke rakyat pada rejim kodok\nkenap\xe2\x80\xa6'
2020-05-30 06:58:17,"b'RT @ustadtengkuzul: Bu Sri Mulyani, daripada susah mencari hutangan ke sana kemari, kenapa tidak diambil dan dicairkan saja dana yang kata\xe2\x80\xa6'"
2020-05-30 06:58:03,"b'RT @jokowi: Pemerintah saat ini fokus menangani pandemi Covid-19, tapi agenda strategis yang berdampak besar bagi kehidupan rakyat harus te\xe2\x80\xa6'"
2020-05-30 06:57:50,b'@Dennysiregar7 @jokowi Warga #62 emang paling unik sedunia'
2020-05-30 06:57:50,b'RT @cintada17: #RakyatDukungNewNormal\nSEJUMLAH NEGARA MULAI MEMBUKA KEGIATAN PEREKONOMIAN \n\nSya Tidak Pernah meragukan keputusan yg di ambi\xe2\x80\xa6'
2020-05-30 06:57:46,"b'RT @Dennysiregar7: Yang pengen dirumah dan menolak new normal, ya silahkan di rumah.\n\nTubuh anda sehat, perusahaan anda yang sakit. \n\nNanti\xe2\x80\xa6'"
